#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHH
sample	bin	methType	mCount	tCount	value
S1	0	CHH	437909	2308171	0.189721
S1	1	CHH	444404	2282371	0.194712
S1	2	CHH	444873	2298389	0.193559
S1	3	CHH	426303	2221362	0.191911
S1	4	CHH	450023	2270238	0.198227
S1	5	CHH	442705	2229429	0.198573
S1	6	CHH	440202	2245142	0.196069
S1	7	CHH	454341	2269785	0.200169
S1	8	CHH	450549	2198256	0.204957
S1	9	CHH	444936	2145827	0.207349
S1	10	CHH	451825	2070791	0.218190
S1	11	CHH	456793	2067505	0.220939
S1	12	CHH	449427	2046507	0.219607
S1	13	CHH	436809	2040203	0.214101
S1	14	CHH	397009	1965714	0.201967
S1	15	CHH	372195	1930684	0.192779
S1	16	CHH	323227	1894574	0.170607
S1	17	CHH	257217	1886351	0.136357
S1	18	CHH	191033	1863824	0.102495
S1	19	CHH	151044	1988013	0.075977
S1	20	CHH	194358	3042114	0.063889
S1	21	CHH	165534	3223466	0.051353
S1	22	CHH	154523	3417658	0.045213
S1	23	CHH	166238	3769574	0.044100
S1	24	CHH	159510	4014857	0.039730
S1	25	CHH	160319	4143289	0.038694
S1	26	CHH	160929	4239665	0.037958
S1	27	CHH	148037	4184791	0.035375
S1	28	CHH	153634	4145629	0.037059
S1	29	CHH	162382	4197774	0.038683
S1	30	CHH	164204	4121199	0.039844
S1	31	CHH	159148	4008629	0.039701
S1	32	CHH	193033	4162511	0.046374
S1	33	CHH	186290	4084186	0.045613
S1	34	CHH	182935	3937115	0.046464
S1	35	CHH	182327	3860437	0.047230
S1	36	CHH	196528	3931896	0.049983
S1	37	CHH	214759	3999916	0.053691
S1	38	CHH	234858	3917242	0.059955
S1	39	CHH	229787	3320706	0.069198
S1	40	CHH	197385	2248986	0.087766
S1	41	CHH	222780	2169250	0.102699
S1	42	CHH	246841	2139201	0.115389
S1	43	CHH	268360	2074388	0.129368
S1	44	CHH	284738	2092434	0.136080
S1	45	CHH	299293	2122665	0.140999
S1	46	CHH	323429	2156668	0.149967
S1	47	CHH	333774	2189539	0.152440
S1	48	CHH	345500	2208650	0.156430
S1	49	CHH	350202	2202003	0.159038
S1	50	CHH	344532	2213233	0.155669
S1	51	CHH	341628	2179579	0.156740
S1	52	CHH	345048	2182490	0.158098
S1	53	CHH	349514	2165033	0.161436
S1	54	CHH	355232	2177895	0.163108
S1	55	CHH	353290	2209105	0.159924
S1	56	CHH	357998	2236826	0.160047
S1	57	CHH	349327	2264425	0.154267
S1	58	CHH	353816	2276684	0.155408
S1	59	CHH	358578	2286966	0.156792
